"transferee_name","transferee_country","fund_name","amount","page","transferee_ein","fund_ein","transferee_address"
"Tulp Street Pte Limited","Singapore","Hedosophia Partners IV L.P.",206008,116,"N/A","N/A","50 Raffles Place #37-00, Singapore Land Tower Singapore 048623"
"Salt Pay Co Ltd.","Cayman Islands","Hedosophia Partners IV L.P.",343363,117,"N/A","N/A","Intertrust Corporate Services (Cayman) Limited, One Nexus Way Camana Bay, Grand Cayman, KY1-9005, Cayman Islands"
"Scalable Capital GmbH","Germany","Hedosophia Partners IV L.P.",223832,118,"N/A","N/A","Seitzstrabe 8E 80538 Munich, Germany"
"Swile","France","Hedosophia Partners IV L.P.",253882,119,"N/A","N/A","561 Rue Geroges Melies 34000 Montpellier, France"
"Webull Corporatoin","Cayman Islands","Hedosophia Partners IV L.P.",333005,120,"N/A","N/A","Sertus Incorporations (Cayman) Limited, Sertus Chambers, Governors Squares, Suite #5-204 23 Lime Tree Bay Avenue, P.O. Box 2547, Grand Cayman, KY1-1104, Cayman Islands"
"Bought by Many Limited","United Kingdom","Hedosophia Partners IV L.P.",326566,121,"N/A","N/A","Unit 1B, 1-10 Summers Street London, UK EC1R 5BD"
"Skaleet SA F/K/A Tagpay SA","France","Long Arc Capital Fund |, L.P.",133964,122,"N/A","84-3852891","86-90 Rue Du Dome Boulogne Billancourt, 92100 France"
"Fireblocks Ltd.","Israel","Stripes V(A) Offshore AIV, LP",477298,123,"N/A","98-1576367","150 Begin Menachem Rd Tel Aviv-Jaffa, Israel 6492105"
"Barbara Sturm Molecular Cosmetics GmbH","Germany","Stripes V(A) Offshore AIV, LP",235443,124,"N/A","98-1576367","Konigsallee 24 40212 Dusseldorft, Germany"
"Orca Security Ltd.","Israel","Stripes V(A) Offshore AIV, LP",239026,125,"N/A","98-1576367","Hamasger St 66 Tel Aviv-Yafo, Israel 6721714"
"Mobilesson Ltd.","Israel","Stripes V(A) Offshore AIV, LP",159359,126,"N/A","98-1576367","111 Arlozorov Tel Aviv - Jaffa, Israel 6209809"
"Bitpanda GmbH","Austria","Valar Fund VII LP",453693,127,"N/A","86-2223256","Stella-Klein-Low Weg 17 1020 Vienna, Austria"
"Majority AB","Sweden","Valar Fund VII LP",152726,128,"N/A","86-2223256","Jakobsbergsgatan 16 Stockholm, Sweden, 111 44"
"Buku Pte. Ltd.","Singapore","Buku Pte. Ltd.",214945,129,"N/A","86-2223256","2 Marina Boulevard #19-10 Singapore 018987"
"Anomaly Capital International Ltd","Cayman Islands","Anomaly Capital",4e+06,130,"98-1549313","98-1549313","Walkers Corporate Limited, 190 Elgin Avenue George Town, Grand Cayman KY1-9008, Cayman Islands"
"ARCM Feeder Fund IV Ltd.","Cayman Islands","ARCM Feeder Fund IV Ltd.",8e+05,131,"N/A","N/A","27 Hospital Road George Town, Grand Cayman KY1-9008, Cayman Islands"
"CoreView Offshore Fund Ltd","Cayman Islands","CoreView Offshore",5500000,132,"N/A","N/A","Walkers Corporate Limited, 190 Elgin Avenue George Town, Grand Cayman KY1-9008, Cayman Islands"
"Kora Offshore Fund Ltd","Cayman Islands","Kora Offshore",1e+07,133,"98-1146963","N/A","PO Box 309, Ugland House, South Church Street George Town, Grand Cayman KY1-1104, Cayman Islands"
"Soleus Capital Offshore, Ltd.","Cayman Islands","Soleus Capital Offshore, Ltd.",1.5e+07,134,"N/A","N/A","104 Field Point Road, 2nd Floor Cayman Islands"
"Neo Financial Technologies Inc.","Canada","Valar Fund VI LP",349483,135,"N/A","84-4735286","200-632 Cenfluence Way SE Calgary, AB Canada T2G 0G1"
"Nufin GmbH","Germany","Valar Fund VI LP",211775,136,"N/A","84-4735286","Ziegelstr. 16 10117, Berlin, Germany"
"Lion TopCo Limited","United Kingdom","Marlin Equity V, LP",204312,137,"N/A","98-1347330","10 Bressenden Place London, UK SW1E 5DH"
"Blue Phoenix Holding B.V.","Netherlands","WPEF VI Feeder LP",413016,138,"N/A","98-0706142","Petroleumweg 32D 3196 KD Rotterdam, Netherlands"
"Global Equestrian Group Holding ApS (fka StandbyCo 1 ApS)","Denmark","WPEF VII Feeder LP",117696,139,"N/A","98-1378508","Uggerhalnevej 80 9310 Vodskov, Denmark"
"Rehab and Mental Healthcare Group B.V.","Netherlands","WPEF VII Feeder LP",579693,140,"N/A","98-1378508","Prins Bernhardplein 200 1097 JB Amsterdam, Netherlands"
"Rehab and Mental Healthcare Group B.V.","Netherlands","WPEF VIII Feeder LP",382935,141,"N/A","98-1563212","Prins Bernhardplein 200 1097 JB Amsterdam, Netherlands"
"Apollo Topco B.V.","Belgium","WPEF VIII Feeder LP",365946,142,"N/A","98-1563212","Antoon Catriestraat, 12 9031 Gent, Belgium"
"Cross Ocean Aviation Fund | (Intl) DAC","lreland","Cross Ocean Aviation Fund | Cayman Feeder LP",2807638,143,"N/A","98-1351135","2 Grand Canal Square, Grand Canal Harbour Dublin 2 DO2 A342, Ireland"
"ADA Support, Inc.","Canada","Firstmark Capital of Ill, L.P.",192594,144,"N/A","84-3808939","371 Front St W, Suite 314 Toronto, ON Canada M5V 3S8"
"Synthesia Limited","United Kingdom","Firstmark Capital V, L.P.",167368,145,"N/A","84-3747650","16 Dufours Place London, UK W1F 7SP"
"Chargelab Inc.","Canada","Root Ventures II, LP",109479,146,"98-1484597","82-4045842","2967 Dundas St. W. #872 Toronto, ON, Canada, M6P 122"
"Kuda Technologies Limited","United Kingdom","Valar Fund VII LP",175130,147,"N/A","86-2223256","5 New Street Square London, UK EC4A 3TW"
"Shopup PTE. Ltd.","Singapore","Valar Fund VII LP",287113,148,"N/A","86-2223256","1B Trengganu St Singapore 058455"
"DEFI Holding PTE. Ltd.","Singapore","Valar Fund VII LP",118634,149,"N/A","86-2223256","UOB Plaza, 80 Raffles Place #32-01 Singapore 048624"
"Svava Pte. Ltd.","Singapore","Valar Fund VII LP",133450,150,"N/A","86-2223256","6001 Beach Road, #22-01, Golden Mile Tower Singapore 199589"
"Newcold Corby Holding II B.V.","Netherlands","WCP Newcold, LP",102724,151,"N/A","47-3997648","Gravinnen Van Nassauboulevard 105 4811 BN Breda, Netherlands"
"Shares S.A.S","France","Valar Fund VII LP",137371,152,"N/A","86-2223256","21 Rue des Filles du Calvaire Paris, France, 75003"
"Portofino Technologies AG","Switzerland","Valar Fund VII LP",148019,153,"N/A","86-2223256","Dammstrasse 18 6300 Zug, Switzerland"
"Nufin GmbH","Germany","Valar Fund VII LP",94759,154,"N/A","86-2223256","Ziegelstr. 16 Berlin, 10117, Germany"
"Dream Games Holdings Ltd","Turkey","Index Ventures Growth VI (Jersey) L.P.",244940,155,"N/A","98-1614524","102/60 Sisli Istanbul Turkey"
"Motorway Online Ltd","United Kingdom","Index Ventures Growth VI (Jersey) L.P.",153880,156,"N/A","98-1614524","International House, 24 Holborn Viaduct London, England, EC1A 2BN, UK"
"Kuda Technologies Limited","United Kingdom","Valar Fund VI LP",266551,157,"N/A","84-4735286","5 New Street Square London, UK EC4A 3TW"
"Tangerine Financial Limited","United Kingdom","Sango Capital Partners L.P.",95006,158,"N/A","98-1094492","54 Portland Place London, UK W1B 1DY"
"Newcold Development BV","Netherlands","WCP Newcold, LP",1955,159,"N/A","47-3997648","Gravinnen Van Nassauboulevard 105 Breda, 4811 BN, Netherlands"
"Newcold Rheine Holdings II BV","Netherlands","WCP Newcold, LP",12507,160,"N/A","47-3997648","Gravinnen Van Nassauboulevard 105 Breda, 4811 BN, Netherlands"
"Paper Education Company Inc","Canada","VIA Seed Technology Partners Platform Fund LP",873406,161,"N/A","47-5591775","279 Sherbrooke St West, Suite 410 Montreal, Quebec, Canada"
"Swift Medical Inc","Canada","VIA Seed Technology Partners Platform Fund LP",116914,162,"N/A","47-5591775","1 Richmond Street West, Suite 500 Toronto, Ontario, Canada"
"Skywatch Space Applications Inc","Canada","VIA Seed Technology Partners Platform Fund LP",154219,163,"N/A","47-5591775","14 ERB Street Waterloo, Ontario, Canada"
"PW Real Estate Fund III Feeder LP","Jersey","PW Real Estate Fund Ill Feeder LP",395802,164,"98-1275822","98-1275822","1 Waverly Place, Union Street St Helier JE1 1SG, Jersey"
"Plotlogic Pty, Ltd","Australia","DCVC V, LP",20560,165,"N/A","83-3076877","12 Thompson Street, Bowen Hills QLD 4006 Australia"
"Bizmo Technologies Pte. Ltd.","Singapore","Valar Fund VI, LP",46613,166,"N/A","84-4735286","68 Circular Road #02-01 Singapore, 049422"
"Bizmo Technologies Pte. Ltd.","Singapore","Valar Fund VII LP",65272,167,"N/A","86-2223256","68 Circular Road #02-01 Singapore, 049422"
"Swift Medical Inc","Canada","Data Collective IV, L.P.",20729,168,"N/A","81-1924847","1 Richmond Street West, Suite 500 Toronto, Ontario, Canada"
"Aviron Interactive Inc.","Canada","Stripes IV Offshore AIlV, LP",94819,169,"N/A","98-1423490","251 Bartley Drive, Unit 2 Toronto, Ontario, Canada, M4A2N7"
"Aviron Interactive Inc.","Canada","Stripes V(A) Offshore AIV, LP",64909,170,"N/A","98-1576367","251 Bartley Drive, Unit 2 Toronto, Ontario, Canada, M4A2N7"
