transferee,description,consideration_received,amount,page
"

(2) Name of Transferee: Castle Tech GmbH

EIN: N/A

Address: Mariendorfer Damm 1
Berlin, 12099, Germany

Country of Incorporation Germany

","Oberlin College (EIN: 34-0714363) owns an interest in Stripes IV Offshore AIlV, LP

(EIN: 98-1423490), who provided a Schedule K-1, Partner's Share of Income, Deduction, Credit, etc.
to Oberlin College describing a IRC Sec. 351 contribution made by Stripes IV Offshore AIV, LP

to Castle Tech GmbH.

(3) Consideration received: ","Ownership interest in Castle Tech GmbH believed at the time to be equal in
value to the cash transferred and consisting of stock in the foreign corporation","$116,346",104
"

(2) Name of Transferee: Cyber Hunters Ltd.
EIN: N/A
Address: 82 Yigal Alon St
Tel Aviv, 6789139, Israel
Country of Incorporation Israel

","Oberlin College (EIN: 34-0714363) owns an interest in Stripes IV Offshore AIV, LP

(EIN: 98-1423490), who provided a Schedule K-1, Partner's Share of Income, Deduction, Credit, etc. to Oberlin
College describing a IRC Sec. 351 contribution made by Stripes IV Offshore AIV, LP

to Cyber Hunters Ltd.

(3) Consideration received: ","Ownership interest in Cyber Hunters Ltd. believed at the time to be equal in
value to the cash transferred and consisting of stock in the foreign corporation","$135,242",105
"

(2) Name of Transferee: Mobilesson Ltd.
EIN: N/A
Address: 111 Arlozorov St.
Tel Aviv, 6209809, Israel
Country of Incorporation Israel

","Oberlin College (EIN: 34-0714363) owns an interest in Stripes IV Offshore AIV, LP

(EIN: 98-1423490), who provided a Schedule K-1, Partner's Share of Income, Deduction, Credit, etc. to Oberlin
College describing a IRC Sec. 351 contribution made by Stripes IV Offshore AIV, LP

to Mobilesson Ltd.

(3) Consideration received: ","Ownership interest in Mobilesson Ltd. believed at the time to be equal in
value to the cash transferred and consisting of stock in the foreign corporation","$225,354",106
"

N26 GmbH

N/A

Rungestr. 22 (3. Hinterhof)
10179 Berlin, Germany
Germany

","Oberlin College (EIN: 34-0714363) owns an interest in Valar Velocity Fund 2 LP
(EIN: 84-4987077), who provided a Schedule K-1, Partner's

Share of Income, Deduction, Credit, etc. to Oberlin

College describing a IRC Sec. 351 contribution made by Valar Velocity Fund 2 LP
to N26 GmbH.

","Ownership interest in N26 GmbH believed at the time to be equal in
value to the cash transferred and consisting of stock in the foreign corporation","$51,126",107
"

Davanti Group BV

N/A

Hogeweg 35-E, Zaltbomm
5301 U Netherlands
Netherlands

","Oberlin College (EIN: 34-0714363) owns an interest in WCP Newcold LP

(EIN: 47-3997648), who provided a Schedule K-1, Partner's

Share of Income, Deduction, Credit, etc. to Oberlin

College describing a IRC Sec. 351 contribution made by Newcold Holdings, LLC
to Davanti Group BV.

","Ownership interest in Davanti Group BV believed at the time to be equal in
value to the cash transferred and consisting of stock in the foreign corporation","$11,612",108
"

Newcold Argentan Holding BV

N/A

Gravinnen Van Nassauboulevard 105
Breda, 4811 BN, Netherlands
Netherlands

","Oberlin College (EIN: 34-0714363) owns an interest in WCP Newcold LP

(EIN: 47-3997648), who provided a Schedule K-1, Partner's

Share of Income, Deduction, Credit, etc. to Oberlin

College describing a IRC Sec. 351 contribution made by Newcold Holdings, LLC
to Newcold Argentan Holding BV.

","Ownership interest in Newcold Argentan Holding BV believed at the time to be equal in
value to the cash transferred and consisting of stock in the foreign corporation","$14,023",109
"

Flixmobility GmbH

N/A

Friedenheimer Brucke 16
80639 Munich Germany
Germany

","Oberlin College (EIN: 34-0714363) owns an interest in Hedosophia Partners IV L.P.
(EIN: N/A), who provided a Schedule K-1,

Partner's Share of Income, Deduction, Credit, etc. to Oberlin

College describing a IRC Sec. 351 contribution made by Hedosophia Partners IV L.P.
to Flixmobility GmbH.

","Ownership interest in Flixmobility GmbH believed at the time to be equal in
value to the cash transferred and consisting of stock in the foreign corporation","$363,408",110
"

Glovoapp23, S.L.

N/A

Calle Pujades, Number 94
Barcelona, Spain

Spain

","Oberlin College (EIN: 34-0714363) owns an interest in Hedosophia Partners IV L.P.
(EIN: N/A), who provided a Schedule K-1,

Partner's Share of Income, Deduction, Credit, etc. to Oberlin

College describing a IRC Sec. 351 contribution made by Hedosophia Partners IV L.P.
to Glovoapp23, S.L.

","Ownership interest in Glovoapp23, S.L. believed at the time to be equal in
value to the cash transferred and consisting of stock in the foreign corporation","$321,423",111
"

Kry International AB

N/A

Torsgatan 21, 113 21

113 21 Stockholm, Sweden
Sweden

","Oberlin College (EIN: 34-0714363) owns an interest in Hedosophia Partners IV L.P.
(EIN: N/A), who provided a Schedule K-1,

Partner's Share of Income, Deduction, Credit, etc. to Oberlin

College describing a IRC Sec. 351 contribution made by Hedosophia Partners IV L.P.
to Kry International AB.

","Ownership interest in Kry International AB believed at the time to be equal in
value to the cash transferred and consisting of stock in the foreign corporation","$282,096",112
"

The Power MBA

N/A

Calle Francisco Silvea, 42
Madrid, 28028, Spain
Spain

","Oberlin College (EIN: 34-0714363) owns an interest in Hedosophia Partners IV L.P.
(EIN: N/A), who provided a Schedule K-1,

Partner's Share of Income, Deduction, Credit, etc. to Oberlin

College describing a IRC Sec. 351 contribution made by Hedosophia Partners IV L.P.
to The Power MBA.

","Ownership interest in The Power MBA believed at the time to be equal in
value to the cash transferred and consisting of stock in the foreign corporation","$231,645",113
"

Yoco Holdings C1/GBL

N/A

56 Shortmarket Street

Cape Town, 8001, South Africa
South Africa

","Oberlin College (EIN: 34-0714363) owns an interest in Hedosophia Partners IV L.P.
(EIN: N/A), who provided a Schedule K-1,

Partner's Share of Income, Deduction, Credit, etc. to Oberlin

College describing a IRC Sec. 351 contribution made by Hedosophia Partners IV L.P.
to Yoco Holdings C1/GBL.

","Ownership interest in Yoco Holdings C1/GBL believed at the time to be equal in
value to the cash transferred and consisting of stock in the foreign corporation","$225,036",114
"

Opay Limited

N/A

P.O. Box 31119 Grand Pavilion, Hibiscus Way, 802 West Bay Road
Grand Cayman, KY1-1205 Cayman Islands

Cayman Islands

","Oberlin College (EIN: 34-0714363) owns an interest in Hedosophia Partners IV L.P.
(EIN: N/A), who provided a Schedule K-1,

Partner's Share of Income, Deduction, Credit, etc. to Oberlin

College describing a IRC Sec. 351 contribution made by Hedosophia Partners IV L.P.
to Opay Limited.

","Ownership interest in Opay Limited believed at the time to be equal in
value to the cash transferred and consisting of stock in the foreign corporation","$148,148",115
"

Tulp Street Pte Limited

N/A

50 Raffles Place #37-00, Singapore Land Tower
Singapore 048623

Singapore

","Oberlin College (EIN: 34-0714363) owns an interest in Hedosophia Partners IV L.P.
(EIN: N/A), who provided a Schedule K-1,

Partner's Share of Income, Deduction, Credit, etc. to Oberlin

College describing a IRC Sec. 351 contribution made by Hedosophia Partners IV L.P.
to Tulp Street Pte Limited

","Ownership interest in Tulp Street Pte Limited believed at the time to be equal in
value to the cash transferred and consisting of stock in the foreign corporation","$206,008",116
"

Salt Pay Co Ltd.

N/A

Intertrust Corporate Services (Cayman) Limited, One Nexus Way
Camana Bay, Grand Cayman, KY1-9005, Cayman Islands

Cayman Islands

","Oberlin College (EIN: 34-0714363) owns an interest in Hedosophia Partners IV L.P.
(EIN: N/A), who provided a Schedule K-1,

Partner's Share of Income, Deduction, Credit, etc. to Oberlin

College describing a IRC Sec. 351 contribution made by Hedosophia Partners IV L.P.
to Salt Pay Co Ltd.

","Ownership interest in Salt Pay Co Ltd. believed at the time to be equal in
value to the cash transferred and consisting of stock in the foreign corporation","$343,363",117
"

Scalable Capital GmbH
N/A

Seitzstrabe 8E

80538 Munich, Germany
Germany

","Oberlin College (EIN: 34-0714363) owns an interest in Hedosophia Partners IV L.P.
(EIN: N/A), who provided a Schedule K-1,

Partner's Share of Income, Deduction, Credit, etc. to Oberlin

College describing a IRC Sec. 351 contribution made by Hedosophia Partners IV L.P.
to Scalable Capital GmbH.

","Ownership interest in Scalable Capital GmbH believed at the time to be equal in
value to the cash transferred and consisting of stock in the foreign corporation","$223,832",118
"

Swile

N/A

561 Rue Geroges Melies
34000 Montpellier, France
France

","Oberlin College (EIN: 34-0714363) owns an interest in Hedosophia Partners IV L.P.
(EIN: N/A), who provided a Schedule K-1,

Partner's Share of Income, Deduction, Credit, etc. to Oberlin

College describing a IRC Sec. 351 contribution made by Hedosophia Partners IV L.P.
to Swile.

","Ownership interest in Swile believed at the time to be equal in
value to the cash transferred and consisting of stock in the foreign corporation","$253,882",119
"

Webull Corporatoin

N/A

Sertus Incorporations (Cayman) Limited, Sertus Chambers, Governors Squares, Suite #5-204
23 Lime Tree Bay Avenue, P.O. Box 2547, Grand Cayman, KY1-1104, Cayman Islands
Cayman Islands

","Oberlin College (EIN: 34-0714363) owns an interest in Hedosophia Partners IV L.P.
(EIN: N/A), who provided a Schedule K-1,

Partner's Share of Income, Deduction, Credit, etc. to Oberlin

College describing a IRC Sec. 351 contribution made by Hedosophia Partners IV L.P.
to Webull Corporation

","Ownership interest in Webull Corporation believed at the time to be equal in
value to the cash transferred and consisting of stock in the foreign corporation","$333,005",120
"

Bought by Many Limited

N/A

Unit 1B, 1-10 Summers Street
London, UK EC1R 5BD
United Kingdom

","Oberlin College (EIN: 34-0714363) owns an interest in Hedosophia Partners IV L.P.
(EIN: N/A), who provided a Schedule K-1,

Partner's Share of Income, Deduction, Credit, etc. to Oberlin

College describing a IRC Sec. 351 contribution made by Hedosophia Partners IV L.P.
to Bought by Many Limited.

","Ownership interest in Bought by Many Limited believed at the time to be equal in
value to the cash transferred and consisting of stock in the foreign corporation","$326,566",121
"

Skaleet SA F/K/A Tagpay SA

N/A

86-90 Rue Du Dome

Boulogne Billancourt, 92100 France
France

","Oberlin College (EIN: 34-0714363) owns an interest in Long Arc Capital Fund |, L.P.
(EIN: 84-3852891), who provided a Schedule K-1,

Partner's Share of Income, Deduction, Credit, etc. to Oberlin

College describing a IRC Sec. 351 contribution made by LAC TP Holdco, L.P.

to Skaleet SA F/K/A Tagpay SA

","Ownership interest in Skaleet SA F/K/A Tagpay SA believed at the time to be equal in
value to the cash transferred and consisting of stock in the foreign corporation","$133,964",122
"

Fireblocks Ltd.

N/A

150 Begin Menachem Rd

Tel Aviv-Jaffa, Israel 6492105
Israel

","Oberlin College (EIN: 34-0714363) owns an interest in Stripes V(A) Offshore AIV, LP
(EIN: 98-1576367), who provided a Schedule K-1,

Partner's Share of Income, Deduction, Credit, etc. to Oberlin

College describing a IRC Sec. 351 contribution made by Stripes V(A) Offshore AIV, LP
to Fireblocks Ltd.

","Ownership interest in Fireblocks Ltd. believed at the time to be equal in
value to the cash transferred and consisting of stock in the foreign corporation","$477,298",123
"

Barbara Sturm Molecular Cosmetics GmbH
N/A

Konigsallee 24

40212 Dusseldorft, Germany

Germany

","Oberlin College (EIN: 34-0714363) owns an interest in Stripes V(A) Offshore AIV, LP
(EIN: 98-1576367), who provided a Schedule K-1,

Partner's Share of Income, Deduction, Credit, etc. to Oberlin

College describing a IRC Sec. 351 contribution made by Stripes V(A) Offshore AIV, LP
to Barbara Sturm Molecular Cosmetics GmbH.

","Ownership interest in Barbara Sturm Molecular Cosmetics GmbH believed at the time to be equal in
value to the cash transferred and consisting of stock in the foreign corporation","$235,443",124
"

Orca Security Ltd.

N/A

Hamasger St 66

Tel Aviv-Yafo, Israel 6721714
Israel

","Oberlin College (EIN: 34-0714363) owns an interest in Stripes V(A) Offshore AIV, LP
(EIN: 98-1576367), who provided a Schedule K-1,

Partner's Share of Income, Deduction, Credit, etc. to Oberlin

College describing a IRC Sec. 351 contribution made by Stripes V(A) Offshore AIV, LP
to Orca Security Ltd.

","Ownership interest in Orca Security Ltd. believed at the time to be equal in
value to the cash transferred and consisting of stock in the foreign corporation","$239,026",125
"

(2) Name of Transferee: Mobilesson Ltd.
EIN: N/A
Address: 111 Arlozorov
Tel Aviv - Jaffa, Israel 6209809
Country of Incorporation Israel

","Oberlin College (EIN: 34-0714363) owns an interest in Stripes V(A) Offshore AIV, LP
(EIN: 98-1576367), who provided a Schedule K-1,

Partner's Share of Income, Deduction, Credit, etc. to Oberlin

College describing a IRC Sec. 351 contribution made by Stripes V(A) Offshore AIV, LP
to Mobilesson Ltd.

(3) Consideration received: ","Ownership interest in Mobilesson Ltd. believed at the time to be
equal in value to the cash transferred and consisting of stock in the foreign corporation","$159,359",126
"

Bitpanda GmbH

N/A

Stella-Klein-Low Weg 17
1020 Vienna, Austria
Austria

","Oberlin College (EIN: 34-0714363) owns an interest in Valar Fund VII LP

(EIN: 86-2223256), who provided a Schedule K-1, Partner's Share of Income, Deduction,
Credit, etc. to Oberlin College describing a IRC Sec. 351 contribution made by

Valar Fund VII LP to Bitpanda GmbH.

","Ownership interest in Bitpanda GmbH believed at the time to be equal in
value to the cash transferred and consisting of stock in the foreign corporation","$453,693",127
"

Majority AB

N/A

Jakobsbergsgatan 16
Stockholm, Sweden, 111 44
Sweden

","Oberlin College (EIN: 34-0714363) owns an interest in Valar Fund VII LP

(EIN: 86-2223256), who provided a Schedule K-1, Partner's Share of Income, Deduction,
Credit, etc. to Oberlin College describing a IRC Sec. 351 contribution made by

Valar Fund VII LP to Majority AB.

","Ownership interest in Majority AB believed at the time to be equal in
value to the cash transferred and consisting of stock in the foreign corporation","$152,726",128
"

Buku Pte. Ltd.

N/A

2 Marina Boulevard #19-10
Singapore 018987
Singapore

","Oberlin College (EIN: 34-0714363) owns an interest in Buku Pte. Ltd.

(EIN: 86-2223256), who provided a Schedule K-1, Partner's Share of Income, Deduction,
Credit, etc. to Oberlin College describing a IRC Sec. 351 contribution made by

Valar Fund VII LP to Buku Pte. Ltd.

","Ownership interest in Buku Pte. Ltd. believed at the time to be equal in
value to the cash transferred and consisting of stock in the foreign corporation","$214,945",129
"

Anomaly Capital International Ltd

98-1549313

Walkers Corporate Limited, 190 Elgin Avenue

George Town, Grand Cayman KY1-9008, Cayman Islands
Cayman Islands

","Oberlin College (EIN: 34-0714363) owns an interest in Anomaly Capital
International Ltd (EIN: 98-1549313). Oberlin College made direct contributions described
under IRC Sec. 351 of cash to Anomaly Capital International Ltd.

","Ownership interest in Anomaly Capital International Ltd believed at the time to be equal in
value to the cash transferred and consisting of stock in the foreign corporation","$4,000,000",130
"

ARCM Feeder Fund IV Ltd.

N/A

27 Hospital Road

George Town, Grand Cayman KY1-9008, Cayman Islands
Cayman Islands

","Oberlin College (EIN: 34-0714363) owns an interest in ARCM Feeder Fund IV Ltd.
(EIN: N/A). Oberlin College made direct contributions described
under IRC Sec. 351 of cash to ARCM Feeder Fund IV Ltd.

","Ownership interest in ARCM Feeder Fund IV Ltd. believed at the time to be equal in
value to the cash transferred and consisting of stock in the foreign corporation","$800,000",131
"

CoreView Offshore Fund Ltd

N/A

Walkers Corporate Limited, 190 Elgin Avenue

George Town, Grand Cayman KY1-9008, Cayman Islands
Cayman Islands

","Oberlin College (EIN: 34-0714363) owns an interest in CoreView Offshore
Fund Ltd (EIN: N/A). Oberlin College made a direct contribution described
under IRC Sec. 351 of cash to CoreView Offshore Fund Ltd.

","Ownership interest in CoreView Offshore Fund Ltd believed at the time to be equal in
value to the cash transferred and consisting of stock in the foreign corporation","$5,500,000",132
"

Kora Offshore Fund Ltd

98-1146963

PO Box 309, Ugland House, South Church Street

George Town, Grand Cayman KY1-1104, Cayman Islands
Cayman Islands

","Oberlin College (EIN: 34-0714363) owns an interest in Kora Offshore
Fund Ltd (EIN: N/A). Oberlin College made a direct contribution described
under IRC Sec. 351 of cash to CoreView Offshore Fund Ltd.

","Ownership interest in Kora Offshore Fund Ltd believed at the time to be equal in
value to the cash transferred and consisting of stock in the foreign corporation","$10,000,000",133
"

Soleus Capital Offshore, Ltd.
N/A

104 Field Point Road, 2nd Floor
Cayman Islands

Cayman Islands

","Oberlin College (EIN: 34-0714363) owns an interest in Soleus Capital Offshore, Ltd.
(EIN: N/A). Oberlin College made a direct contribution described
under IRC Sec. 351 of cash to CoreView Offshore Fund Ltd.

","Ownership interest in Soleus Capital Offshore, Ltd. believed at the time to be equal in
value to the cash transferred and consisting of stock in the foreign corporation","$15,000,000",134
"

Neo Financial Technologies Inc.
N/A

200-632 Cenfluence Way SE
Calgary, AB Canada T2G 0G1
Canada

","Oberlin College (EIN: 34-0714363) owns an interest in Valar Fund VI LP

(EIN: 84-4735286), who provided a Schedule K-1, Partner's Share of Income, Deduction,
Credit, etc. to Oberlin College describing a IRC Sec. 351 contribution made by

Valar Fund VI LP to Neo Financial Technologies Inc.

","Ownership interest in Neo Financial Technologies Inc. believed at the time to be equal in
value to the cash transferred and consisting of stock in the foreign corporation","$349,483",135
"

Nufin GmbH

N/A

Ziegelstr. 16

10117, Berlin, Germany
Germany

","Oberlin College (EIN: 34-0714363) owns an interest in Valar Fund VI LP

(EIN: 84-4735286), who provided a Schedule K-1, Partner's Share of Income, Deduction,
Credit, etc. to Oberlin College describing a IRC Sec. 351 contribution made by

Valar Fund VI LP to Nufin GmbH.

","Ownership interest in Nufin GmbH believed at the time to be equal in
value to the cash transferred and consisting of stock in the foreign corporation","$211,775",136
"

Lion TopCo Limited
N/A

10 Bressenden Place
London, UK SW1E 5DH
United Kingdom

","Oberlin College (EIN: 34-0714363) owns an interest in Marlin Equity V, LP

(EIN: 98-1347330), who provided a Schedule K-1, Partner's Share of Income, Deduction,
Credit, etc. to Oberlin College describing a IRC Sec. 351 contribution made by

Marlin Equity V, LP to Lion TopCo Limited

","Ownership interest in Lion TopCo Limited believed at the time to be equal in
value to the cash transferred and consisting of stock in the foreign corporation","$204,312",137
"

Blue Phoenix Holding B.V.

N/A

Petroleumweg 32D

3196 KD Rotterdam, Netherlands
Netherlands

","Oberlin College (EIN: 34-0714363) owns an interest in WPEF VI Feeder LP
(EIN: 98-0706142). WPEF VI Feeder LP made contributions described
under IRC Sec. 351 of cash to Blue Phoenix Holding B.V.

","Ownership interest in Blue Phoenix Holding B.V. believed at the time to be equal in
value to the cash transferred and consisting of stock in the foreign corporation","$413,016",138
"

Global Equestrian Group Holding ApS (fka StandbyCo 1 ApS)
N/A

Uggerhalnevej 80

9310 Vodskov, Denmark

Denmark

","Oberlin College (EIN: 34-0714363) owns an interest in WPEF VII Feeder LP
(EIN: 98-1378508). WPEF VII Feeder LP made contributions described
under IRC Sec. 351 of cash to Global Equestrian Group Holding ApS (fka StandbyCo 1 ApS)

","Ownership interest in Global Equestrian Group Holding ApS (fka StandbyCo 1 ApS) believed at the time to be
equal in value to the cash transferred and consisting of stock in the foreign corporation","$117,696",139
"

Rehab and Mental Healthcare Group B.V.
N/A

Prins Bernhardplein 200

1097 JB Amsterdam, Netherlands
Netherlands

","Oberlin College (EIN: 34-0714363) owns an interest in WPEF VII Feeder LP
(EIN: 98-1378508). WPEF VII Feeder LP made contributions described
under IRC Sec. 351 of cash to Rehab and Mental Healthcare Group B.V.

","Ownership interest in Rehab and Mental Healthcare Group B.V. believed at the time to be equal in
value to the cash transferred and consisting of stock in the foreign corporation","$579,693",140
"

Rehab and Mental Healthcare Group B.V.
N/A

Prins Bernhardplein 200

1097 JB Amsterdam, Netherlands
Netherlands

","Oberlin College (EIN: 34-0714363) owns an interest in WPEF VIII Feeder LP
(EIN: 98-1563212). WPEF VIII Feeder LP made contributions described
under IRC Sec. 351 of cash to Rehab and Mental Healthcare Group B.V.

","Ownership interest in Rehab and Mental Healthcare Group B.V. believed at the time to be equal in
value to the cash transferred and consisting of stock in the foreign corporation","$382,935",141
"

(2) Name of Transferee: Apollo Topco B.V.

EIN: N/A

Address: Antoon Catriestraat, 12
9031 Gent, Belgium

Country of Incorporation Belgium

","Oberlin College (EIN: 34-0714363) owns an interest in WPEF VIII Feeder LP
(EIN: 98-1563212). WPEF VIII Feeder LP made contributions described
under IRC Sec. 351 of cash to Apollo Topco B.V.

(3) Consideration received: ","Ownership interest in Apollo Topco B.V. believed at the time to be equal in
value to the cash transferred and consisting of stock in the foreign corporation","$365,946",142
"

(2) Name of Transferee: Cross Ocean Aviation Fund | (Intl) DAC

EIN: N/A

Address: 2 Grand Canal Square, Grand Canal Harbour
Dublin 2 DO2 A342, Ireland

Country of Incorporation lreland

","Oberlin College (EIN: 34-0714363) owns an interest in Cross Ocean Aviation Fund | Cayman Feeder LP
(EIN: 98-1351135), who provided a Schedule K-1, Partner's Share of Income, Deduction,

Credit, etc. to Oberlin College describing a IRC Sec. 351 contribution made by

Cross Ocean Aviation Fund | Cayman Feeder LP to Cross Ocean Aviation Fund | (Intl) DAC.

(3) Consideration received: ","Ownership interest in Cross Ocean Aviation Fund | (Intl) DAC believed at the time to be equal in
value to the cash transferred and consisting of stock in the foreign corporation","$2,807,638",143
"

ADA Support, Inc.

N/A

371 Front St W, Suite 314
Toronto, ON Canada M5V 3S8
Canada

","Oberlin College (EIN: 34-0714363) owns an interest in Firstmark Capital of Ill, L.P.

(EIN: 84-3808939), who provided a Schedule K-1, Partner's Share of Income, Deduction,
Credit, etc. to Oberlin College describing a IRC Sec. 351 contribution made by

Firstmark Capital of Ill, L.P. to ADA Support, Inc.

","Ownership interest in ADA Support, Inc. believed at the time to be equal in
value to the cash transferred and consisting of stock in the foreign corporation","$192,594",144
"

Synthesia Limited
N/A

16 Dufours Place
London, UK W1F 7SP
United Kingdom

","Oberlin College (EIN: 34-0714363) owns an interest in Firstmark Capital V, L.P.

(EIN: 84-3747650), who provided a Schedule K-1, Partner's Share of Income, Deduction,
Credit, etc. to Oberlin College describing a IRC Sec. 351 contribution made by

Firstmark Capital V, L.P. to Synthesia Limited

","Ownership interest in Synthesia Limited believed at the time to be equal in
value to the cash transferred and consisting of stock in the foreign corporation","$167,368",145
"

Chargelab Inc.

98-1484597

2967 Dundas St. W. #872
Toronto, ON, Canada, M6P 122
Canada

","Oberlin College (EIN: 34-0714363) owns an interest in Root Ventures II, LP

(EIN: 82-4045842), who provided a Schedule K-1, Partner's Share of Income, Deduction,
Credit, etc. to Oberlin College describing a IRC Sec. 351 contribution made by

Root Ventures II, LP to Chargelab Inc.

","Ownership interest in Chargelab Inc believed at the time to be equal in
value to the cash transferred and consisting of stock in the foreign corporation","$109,479",146
